descricao;endereco;area;quartos;banheiro;vaga;valor;condominio;_link
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência, 251 - Brás, São Paulo - SP;74;3;2;1;R$ 650.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS650000-id-2523070673/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;--;R$ 449.100;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS449100-id-2485848155/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;--;R$ 449.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS449000-id-2485850619/
Apartamento com 2 Quartos à Venda, 41m²;Rua Intendência - Brás, São Paulo - SP;41;2;1;--;R$ 249.100;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-41m2-venda-RS249100-id-2482192309/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência - Brás, São Paulo - SP;65;3;2;1;R$ 472.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS472000-id-2458576342/
Apartamento com 2 Quartos à Venda, 55m²;Rua Intendência - Brás, São Paulo - SP;55;2;1;1;R$ 430.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-55m2-venda-RS430000-id-2523070439/
Apartamento com 2 Quartos à Venda, 43m²;Brás, São Paulo - SP;43;2;1;--;R$ 274.595;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS274595-id-2518734486/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;2;--;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-40m2-venda-RS225000-id-2521696650/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;1;1;R$ 225.000;R$ 385;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-40m2-venda-RS225000-id-2443563988/
Apartamento com  Quarto à Venda, 38m²;Rua Intendência - Brás, São Paulo - SP;38;1;1;1;R$ 330.000;R$ 330;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-38m2-venda-RS330000-id-2523068815/
Apartamento com  Quarto à Venda, 38m²;Rua Intendência - Brás, São Paulo - SP;38;1;1;1;R$ 350.000;R$ 360;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-38m2-venda-RS350000-id-2523070438/
Apartamento com 2 Quartos à Venda, 43m²;Brás, São Paulo - SP;43;2;1;--;R$ 279.013;R$ 300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS279013-id-2486309476/
Apartamento com 2 Quartos à Venda, 74m²;Brás, São Paulo - SP;74;2;1;--;R$ 290.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS290000-id-2494543784/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência, 177 - Brás, São Paulo - SP;65;3;2;1;R$ 390.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS390000-id-2429012295/
On Belém City;Rua Intendência, 212 - Belém, São Paulo - SP;44;2;1;--;Sob Consulta;;https://www.vivareal.com.br/imoveis-lancamento/on-belem-city-2512186348/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 310 - Brás, São Paulo - SP;40;2;1;1;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-40m2-venda-RS225000-id-2473007374/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;2;R$ 429.000;R$ 475;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS429000-id-2523463580/
Apartamento com 3 Quartos à Venda, 70m²;Rua Intendência, 177 - Brás, São Paulo - SP;70;3;2;1;R$ 399.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-70m2-venda-RS399000-id-2473431089/
Apartamento com 2 Quartos à Venda, 43m²;Rua Intendência, 300 - Brás, São Paulo - SP;43;2;1;--;R$ 270.000;R$ 300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS270000-id-2523900663/
Apartamento com 2 Quartos à Venda, 50m²;Rua Intendência, 177 - Brás, São Paulo - SP;50;2;1;1;R$ 315.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-50m2-venda-RS315000-id-2495216582/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência - Brás, São Paulo - SP;65;3;1;1;R$ 383.000;R$ 294;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS383000-id-2453255432/
Stories Belém;Rua Intendência, 212 - Belém, São Paulo - SP;40-50;2;1;1;R$ 225.000;;https://www.vivareal.com.br/imoveis-lancamento/stories-belem-2454536577/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;2;R$ 450.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS450000-id-2475948676/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;1;--;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-40m2-venda-RS225000-id-2516085148/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência, 212 - Brás, São Paulo - SP;74;3;2;2;R$ 429.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS429000-id-2475536983/
Apartamento com  Quarto à Venda, 44m²;Rua Intendência - Brás, São Paulo - SP;44;1;1;--;R$ 270.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-44m2-venda-RS270000-id-2485290801/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência, 100 - Brás, São Paulo - SP;65;3;2;1;R$ 375.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS375000-id-2483176782/
Apartamento com 2 Quartos à Venda, 41m²;Rua Intendência, 212 - Brás, São Paulo - SP;41;2;1;1;R$ 235.000;R$ 300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-41m2-venda-RS235000-id-2513827485/
On Belém View - Econ;Rua Evaristo da Veiga, 72 - Catumbi, São Paulo - SP;56-65;2-3;2;1;R$ 350.000;;https://www.vivareal.com.br/imoveis-lancamento/on-belem-view-econ-2509600579/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência, 177 - Brás, São Paulo - SP;65;3;2;1;R$ 411.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS411000-id-2508210067/
Apartamento com  Quarto à Venda, 44m²;Rua Intendência - Brás, São Paulo - SP;44;1;1;1;R$ 320.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-44m2-venda-RS320000-id-2499472641/
Apartamento com 2 Quartos à Venda, 55m²;Rua Intendência - Brás, São Paulo - SP;55;2;2;1;R$ 390.000;R$ 280;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-55m2-venda-RS390000-id-2514623278/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;1;1;R$ 235.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-40m2-venda-RS235000-id-2513156250/
Apartamento com 2 Quartos à Venda, 43m²;Brás, São Paulo - SP;43;2;1;--;R$ 265.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS265000-id-2523636641/
Apartamento com 3 Quartos à Venda, 70m²;Rua Intendência, 177 - Brás, São Paulo - SP;70;3;2;1;R$ 375.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-70m2-venda-RS375000-id-2477356476/
Apartamento com 2 Quartos à Venda, 43m²;Rua Intendência, 319 - Brás, São Paulo - SP;43;2;1;--;R$ 290.000;R$ 294;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS290000-id-2517307098/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência, 251 - Brás, São Paulo - SP;74;3;2;1;R$ 650.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS650000-id-2523070673/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;--;R$ 449.100;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS449100-id-2485848155/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;--;R$ 449.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS449000-id-2485850619/
Apartamento com 2 Quartos à Venda, 41m²;Rua Intendência - Brás, São Paulo - SP;41;2;1;--;R$ 249.100;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-41m2-venda-RS249100-id-2482192309/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência - Brás, São Paulo - SP;65;3;2;1;R$ 472.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS472000-id-2458576342/
Apartamento com 2 Quartos à Venda, 55m²;Rua Intendência - Brás, São Paulo - SP;55;2;1;1;R$ 430.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-55m2-venda-RS430000-id-2523070439/
Apartamento com 2 Quartos à Venda, 43m²;Brás, São Paulo - SP;43;2;1;--;R$ 274.595;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS274595-id-2518734486/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;2;--;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-40m2-venda-RS225000-id-2521696650/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;1;1;R$ 225.000;R$ 385;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-40m2-venda-RS225000-id-2443563988/
Apartamento com  Quarto à Venda, 38m²;Rua Intendência - Brás, São Paulo - SP;38;1;1;1;R$ 330.000;R$ 330;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-38m2-venda-RS330000-id-2523068815/
Apartamento com  Quarto à Venda, 38m²;Rua Intendência - Brás, São Paulo - SP;38;1;1;1;R$ 350.000;R$ 360;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-38m2-venda-RS350000-id-2523070438/
Apartamento com 2 Quartos à Venda, 43m²;Brás, São Paulo - SP;43;2;1;--;R$ 279.013;R$ 300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS279013-id-2486309476/
Apartamento com 2 Quartos à Venda, 74m²;Brás, São Paulo - SP;74;2;1;--;R$ 290.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS290000-id-2494543784/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;2;R$ 429.000;R$ 475;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS429000-id-2523463580/
On Belém City;Rua Intendência, 212 - Belém, São Paulo - SP;44;2;1;--;Sob Consulta;;https://www.vivareal.com.br/imoveis-lancamento/on-belem-city-2512186348/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência, 177 - Brás, São Paulo - SP;65;3;2;1;R$ 390.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS390000-id-2429012295/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 310 - Brás, São Paulo - SP;40;2;1;1;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-40m2-venda-RS225000-id-2473007374/
Apartamento com 3 Quartos à Venda, 70m²;Rua Intendência, 177 - Brás, São Paulo - SP;70;3;2;1;R$ 399.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-70m2-venda-RS399000-id-2473431089/
Apartamento com 2 Quartos à Venda, 43m²;Rua Intendência, 300 - Brás, São Paulo - SP;43;2;1;--;R$ 270.000;R$ 300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS270000-id-2523900663/
Apartamento com 2 Quartos à Venda, 50m²;Rua Intendência, 177 - Brás, São Paulo - SP;50;2;1;1;R$ 315.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-50m2-venda-RS315000-id-2495216582/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência - Brás, São Paulo - SP;65;3;1;1;R$ 383.000;R$ 294;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS383000-id-2453255432/
Stories Belém;Rua Intendência, 212 - Belém, São Paulo - SP;40-50;2;1;1;R$ 225.000;;https://www.vivareal.com.br/imoveis-lancamento/stories-belem-2454536577/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;2;R$ 450.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS450000-id-2475948676/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;1;--;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-40m2-venda-RS225000-id-2516085148/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência, 212 - Brás, São Paulo - SP;74;3;2;2;R$ 429.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS429000-id-2475536983/
Apartamento com  Quarto à Venda, 44m²;Rua Intendência - Brás, São Paulo - SP;44;1;1;--;R$ 270.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-44m2-venda-RS270000-id-2485290801/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência, 100 - Brás, São Paulo - SP;65;3;2;1;R$ 375.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS375000-id-2483176782/
Apartamento com 2 Quartos à Venda, 41m²;Rua Intendência, 212 - Brás, São Paulo - SP;41;2;1;1;R$ 235.000;R$ 300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-41m2-venda-RS235000-id-2513827485/
On Belém View - Econ;Rua Evaristo da Veiga, 72 - Catumbi, São Paulo - SP;56-65;2-3;2;1;R$ 350.000;;https://www.vivareal.com.br/imoveis-lancamento/on-belem-view-econ-2509600579/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência, 177 - Brás, São Paulo - SP;65;3;2;1;R$ 411.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS411000-id-2508210067/
Apartamento com  Quarto à Venda, 44m²;Rua Intendência - Brás, São Paulo - SP;44;1;1;1;R$ 320.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-44m2-venda-RS320000-id-2499472641/
Apartamento com 2 Quartos à Venda, 55m²;Rua Intendência - Brás, São Paulo - SP;55;2;2;1;R$ 390.000;R$ 280;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-55m2-venda-RS390000-id-2514623278/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;1;1;R$ 235.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-40m2-venda-RS235000-id-2513156250/
Apartamento com 2 Quartos à Venda, 43m²;Brás, São Paulo - SP;43;2;1;--;R$ 265.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS265000-id-2523636641/
Apartamento com 3 Quartos à Venda, 70m²;Rua Intendência, 177 - Brás, São Paulo - SP;70;3;2;1;R$ 375.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-70m2-venda-RS375000-id-2477356476/
Apartamento com 2 Quartos à Venda, 43m²;Rua Intendência, 319 - Brás, São Paulo - SP;43;2;1;--;R$ 290.000;R$ 294;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS290000-id-2517307098/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência, 251 - Brás, São Paulo - SP;74;3;2;1;R$ 650.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-74m2-venda-RS650000-id-2523070673/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;--;R$ 449.100;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS449100-id-2485848155/
Apartamento com 3 Quartos à Venda, 74m²;Rua Intendência - Brás, São Paulo - SP;74;3;2;--;R$ 449.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS449000-id-2485850619/
Apartamento com 2 Quartos à Venda, 41m²;Rua Intendência - Brás, São Paulo - SP;41;2;1;--;R$ 249.100;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-41m2-venda-RS249100-id-2482192309/
Apartamento com 3 Quartos à Venda, 65m²;Rua Intendência - Brás, São Paulo - SP;65;3;2;1;R$ 472.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-65m2-venda-RS472000-id-2458576342/
Apartamento com 2 Quartos à Venda, 55m²;Rua Intendência - Brás, São Paulo - SP;55;2;1;1;R$ 430.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-55m2-venda-RS430000-id-2523070439/
Apartamento com 2 Quartos à Venda, 43m²;Brás, São Paulo - SP;43;2;1;--;R$ 274.595;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS274595-id-2518734486/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;2;--;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-40m2-venda-RS225000-id-2521696650/
Apartamento com 2 Quartos à Venda, 40m²;Rua Intendência, 212 - Brás, São Paulo - SP;40;2;1;1;R$ 225.000;R$ 385;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-com-garagem-40m2-venda-RS225000-id-2443563988/
Apartamento com  Quarto à Venda, 38m²;Rua Intendência - Brás, São Paulo - SP;38;1;1;1;R$ 330.000;R$ 330;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-38m2-venda-RS330000-id-2523068815/
Apartamento com  Quarto à Venda, 38m²;Rua Intendência - Brás, São Paulo - SP;38;1;1;1;R$ 350.000;R$ 360;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-38m2-venda-RS350000-id-2523070438/
Apartamento com 2 Quartos à Venda, 43m²;Brás, São Paulo - SP;43;2;1;--;R$ 279.013;R$ 300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-43m2-venda-RS279013-id-2486309476/
Apartamento com 2 Quartos à Venda, 74m²;Brás, São Paulo - SP;74;2;1;--;R$ 290.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bras-zona-leste-sao-paulo-74m2-venda-RS290000-id-2494543784/
